base_hazard_hat,ipcw_hazard_hat_ipcw,metric,section,value
,,T_policy,P17_main_metrics,18.0
,,T_eval_metrics,P17_main_metrics,37.0
,,T_eval_policy,P17_main_metrics,38.0
,,T_max_G_table,P17_main_metrics,38.0
,,G_T_policy,P17_main_metrics,0.7957980376262404
,,G_T_eval_metrics,P17_main_metrics,0.0600718928600871
,,G_T_eval_policy,P17_main_metrics,1e-12
,,C_index_discrete_T_policy,P17_main_metrics,0.5045023800938964
,,C_index_discrete_T_eval_metrics,P17_main_metrics,0.4081243872935619
,,IPCW_Brier_T_policy,P17_main_metrics,0.1745599921388959
,,IPCW_IBS_0_T_policy,P17_main_metrics,0.1152812338374417
,,IPCW_Brier_T_eval_metrics,P17_main_metrics,0.1149556330871662
,,IPCW_IBS_0_T_eval_metrics,P17_main_metrics,0.1540603690268915
,,N_test_enrollments,P17_main_metrics,9778.0
,,N_test_events,P17_main_metrics,2216.0
37.0,37.0,T_eval_metrics,P17_2_base_vs_ipcw,
0.0600718928600871,0.0600718928600871,G_T_eval_metrics,P17_2_base_vs_ipcw,
0.4081243872935619,0.4527002198122792,C_index_discrete_T_eval,P17_2_base_vs_ipcw,
0.0607454208148857,0.0623891300201524,IPCW_Brier_T_eval,P17_2_base_vs_ipcw,
18.0,18.0,T_policy,P17_3_1_unified_dedup,
38.0,38.0,T_eval_policy,P17_3_1_unified_dedup,
0.7957980376262404,0.7957980376262404,G_T_policy,P17_3_1_unified_dedup,
1e-12,1e-12,G_T_eval_policy,P17_3_1_unified_dedup,
9778.0,9778.0,N_test_enrollments,P17_3_1_unified_dedup,
2216.0,2216.0,N_test_events,P17_3_1_unified_dedup,
37.0,37.0,T_eval_metrics,P17_3_1_unified_dedup,
0.0600718928600871,0.0600718928600871,G_T_eval_metrics,P17_3_1_unified_dedup,
0.4081243872935619,0.4527002198122792,C_index_discrete_T_eval,P17_3_1_unified_dedup,
0.0607454208148857,0.0623891300201524,IPCW_Brier_T_eval,P17_3_1_unified_dedup,
