decile,n,mean_pred,empirical_rate,abs_gap
0,978,0.19052509412432725,0.08895705521472393,0.10156803890960332
1,978,0.29426318469317586,0.1359918200408998,0.15827136465227606
2,978,0.3444039571587616,0.15950920245398773,0.18489475470477387
3,977,0.3850504475571685,0.17604912998976457,0.20900131756740392
4,978,0.42152080063403863,0.19222903885480572,0.2292917617792329
5,978,0.45679223908220756,0.2167689161554192,0.24002332292678835
6,977,0.49112166570746396,0.2507676560900716,0.24035400961739234
7,978,0.5288205967421246,0.2689161554192229,0.25990444132290164
8,978,0.574329352625418,0.3118609406952965,0.26246841193012144
9,978,0.6511633054556436,0.37627811860940696,0.27488518684623664
