week,policy_active_rate,delta_total_clicks,delta_recency,delta_streak,n_rows,trigger_rate
0,0.1658825935774187,0.0,0.0,0.0,9778,0.8577418695029658
1,0.2058720727018525,0.11924734941162775,0.0,0.0,8583,0.8728882675055342
2,0.18921878802628378,0.481187636894622,0.0,0.0,8218,0.8859819907520078
3,0.13041326404355358,0.165243751546647,0.0,0.0,8082,0.8918584508784955
4,0.11664133738601824,0.15517983789260398,0.0,0.0,7896,0.8958966565349544
5,0.10166645136287301,0.10727296214959316,0.0,0.0,7741,0.8982043663609353
6,0.09043250327653997,0.1585190039318481,0.0,0.0,7630,0.9006553079947576
7,0.07632772884974647,0.10142780891379778,0.0,0.0,7494,0.9019215372297839
8,0.08156606851549755,0.09033442088091362,0.0,0.0,7356,0.9034801522566612
9,0.0869205298013245,0.1464403973509935,0.0,0.0,7248,0.9036975717439294
10,0.11182645206438069,0.08125962211336606,0.0,0.0,7145,0.9038488453463961
11,0.13250283125707815,0.09525764439411108,0.0,0.0,7064,0.9037372593431483
12,0.08629078420148827,0.15867200915855764,0.0,0.0,6988,0.903548941041786
13,0.037101702313400264,0.07341772151898741,0.0,0.0,6873,0.9028080896260731
14,0.02530334418467002,0.03876886652855878,0.0,0.0,6758,0.9017460787215152
15,0.022583559168925023,0.03688647997591091,0.0,0.0,6642,0.9010840108401084
16,0.023707555827470174,0.03173753441419397,0.0,0.0,6538,0.9002753135515448
17,0.020910780669144983,0.05408921933085506,0.0,0.0,6456,0.8997831474597274
18,0.014777550699575539,0.05863857883980512,0.0,0.0,6361,0.8992296808677881
19,0.014201372267432583,0.022849848412318515,0.0,0.0,6267,0.8983564704005106
20,0.014567821301392036,0.03583684040142443,0.0,0.0,6178,0.897539656846876
21,0.011955453652145431,0.020520799213887993,0.0,0.0,6106,0.8974778905994104
22,0.013643926788685524,0.02682196339434279,0.0,0.0,6010,0.8960066555740432
23,0.015051581261626923,0.03194655843057673,0.0,0.0,5913,0.8948080500591916
24,0.01822871883061049,0.027394668959587292,0.0,0.0,5815,0.8935511607910576
25,0.021868439468159553,0.02162351294611618,0.0,0.0,5716,0.8922323303009098
26,0.02500443341017911,0.031016137613051987,0.0,0.0,5639,0.8911154460010641
27,0.021349120918550412,0.046698959454610736,0.0,0.0,5574,0.8905633297452458
28,0.01292083712465878,0.03619654231119202,0.0,0.0,5495,0.889171974522293
29,0.014063656550703183,0.017301998519615114,0.0,0.0,5404,0.8874907475943745
30,0.015503875968992248,0.06082435242957085,0.0,0.0,5289,0.8854225751559841
31,0.014931161528020168,0.054062439402753584,0.0,0.0,5157,0.8832654644172969
32,0.015227367542761786,0.08788068418856913,0.0,0.0,4794,0.8771380892782645
33,0.016145057128663685,0.05312965722801794,0.0,0.0,4026,0.8648782911077993
34,0.025008226390259954,0.017505758473181976,0.0,0.0,3039,0.8571898650871997
35,0.054967221381744834,0.007967725668179533,0.0,0.0,1983,0.869894099848714
36,0.062192118226600986,0.014716748768472919,0.0,0.0,1624,0.8596059113300493
37,0.039568345323741004,0.019514388489208653,0.0,0.0,1112,0.8309352517985612
38,0.01411764705882353,0.004705882352941181,0.0,0.0,425,0.7811764705882352
