week,deltaS_shock
0,0.0038082944005369823
1,0.0075768006362934015
2,0.00876425358255084
3,0.010489525050370596
4,0.011756813260602517
5,0.012940076272520584
6,0.01439052259921747
7,0.015738852323330388
8,0.016807727613639134
9,0.017981598991596015
10,0.01902633966913203
11,0.019952781276136533
12,0.020864939304023777
13,0.02192700905122158
14,0.023065764171840364
15,0.023893385790517918
16,0.024492208573380192
17,0.02519161835806505
18,0.025960139487519962
19,0.026546008592392423
20,0.02714163601740205
21,0.027751146863759346
22,0.028405301808240302
23,0.02896902608663754
24,0.029526949063524155
25,0.0298374410639769
26,0.02996439159374442
27,0.030231816092450625
28,0.03051230866136634
29,0.0308763127419327
30,0.031203748737603232
31,0.0314940318443554
32,0.03187705690665443
33,0.031779025040943876
34,0.03129411682387495
35,0.029560185712909193
36,0.028568517102438684
37,0.027145778659060094
38,0.024273470092421978
